"","GOID","TERM"
"10267","GO:0018610","dibenzofuran 4,4a-dioxygenase activity"
"10268","GO:0018611","toluate dioxygenase activity"
"10269","GO:0018612","dibenzothiophene dioxygenase activity"
"10270","GO:0018613","9-fluorenone dioxygenase activity"
"10271","GO:0018614","ethylbenzene dioxygenase activity"
"10272","GO:0018615","2-indanone monooxygenase activity"
"10273","GO:0018616","trihydroxytoluene dioxygenase activity"
"10274","GO:0018617","4-aminobenzenesulfonate 3,4-dioxygenase (deaminating) activity"
"10275","GO:0018618","anthranilate 1,2-dioxygenase (deaminating, decarboxylating) activity"
"10276","GO:0018619","benzene 1,2-dioxygenase activity"
"10277","GO:0018620","phthalate 4,5-dioxygenase activity"
"10278","GO:0018621","4-sulfobenzoate 3,4-dioxygenase activity"
"10279","GO:0018622","4-chlorophenylacetate 3,4-dioxygenase activity"
"10280","GO:0018623","benzoate 1,2-dioxygenase activity"
"10281","GO:0018624","toluene dioxygenase activity"
"10282","GO:0018625","naphthalene 1,2-dioxygenase activity"
"10283","GO:0018626","2-chlorobenzoate 1,2-dioxygenase activity"
"10284","GO:0018627","2-aminobenzenesulfonate 2,3-dioxygenase activity"
"10285","GO:0018628","terephthalate 1,2-dioxygenase activity"
"10286","GO:0018629","2-hydroxyquinoline 5,6-dioxygenase activity"
"10287","GO:0018630","3,5-xylenol methylhydroxylase activity"
"10288","GO:0018631","phenylacetate hydroxylase activity"
"10289","GO:0018632","4-nitrophenol 4-monooxygenase activity"
"10290","GO:0018633","dimethyl sulfide monooxygenase activity"
"10291","GO:0018634","alpha-pinene monooxygenase [NADH] activity"
"10292","GO:0018635","(R)-limonene 1,2-monooxygenase activity"
"10293","GO:0018636","phenanthrene 9,10-monooxygenase activity"
"10294","GO:0018637","1-hydroxy-2-naphthoate hydroxylase activity"
"10295","GO:0018638","toluene 4-monooxygenase activity"
"10296","GO:0018639","xylene monooxygenase activity"
"10297","GO:0018640","dibenzothiophene monooxygenase activity"
"10298","GO:0018641","6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity"
"10299","GO:0018642","chlorophenol 4-monooxygenase activity"
"10300","GO:0018643","carbon disulfide oxygenase activity"
"10301","GO:0018644","toluene 2-monooxygenase activity"
"10302","GO:0018645","alkene monooxygenase activity"
"10303","GO:0018646","1-hydroxy-2-oxolimonene 1,2-monooxygenase activity"
"10304","GO:0018647","phenanthrene 1,2-monooxygenase activity"
"10305","GO:0018648","methanesulfonate monooxygenase activity"
"10306","GO:0018649","tetrahydrofuran hydroxylase activity"
"10307","GO:0018650","styrene monooxygenase activity"
"10308","GO:0018651","toluene-4-sulfonate monooxygenase activity"
"10309","GO:0018652","toluene-sulfonate methyl-monooxygenase activity"
"10310","GO:0018653","3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity"
"10311","GO:0018654","2-hydroxy-phenylacetate hydroxylase activity"
"10312","GO:0018655","2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity"
"10313","GO:0018656","phenanthrene 3,4-monooxygenase activity"
"10314","GO:0018657","toluene 3-monooxygenase activity"
"10315","GO:0018658","salicylate 1-monooxygenase activity"
"10316","GO:0018659","4-hydroxybenzoate 3-monooxygenase activity"
"10317","GO:0018660","4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity"
"10318","GO:0018661","orcinol 2-monooxygenase activity"
"10319","GO:0018662","phenol 2-monooxygenase activity"
"10320","GO:0018663","2,6-dihydroxypyridine 3-monooxygenase activity"
"10321","GO:0018664","benzoate 4-monooxygenase activity"
"10322","GO:0018665","4-hydroxyphenylacetate 1-monooxygenase activity"
"10323","GO:0018666","2,4-dichlorophenol 6-monooxygenase activity"
"10324","GO:0018667","cyclohexanone monooxygenase activity"
"10325","GO:0018668","3-hydroxybenzoate 4-monooxygenase activity"
"10326","GO:0018669","3-hydroxybenzoate 6-monooxygenase activity"
"10327","GO:0018670","4-aminobenzoate 1-monooxygenase activity"
"10328","GO:0018671","4-hydroxybenzoate 3-monooxygenase [NAD(P)H] activity"
"10329","GO:0018672","anthranilate 3-monooxygenase (deaminating) activity"
"10330","GO:0018673","anthraniloyl-CoA monooxygenase activity"
"10331","GO:0018674","(S)-limonene 3-monooxygenase activity"
"10332","GO:0018675","(S)-limonene 6-monooxygenase activity"
"10333","GO:0018676","(S)-limonene 7-monooxygenase activity"
"10334","GO:0018677","pentachlorophenol monooxygenase activity"
"10335","GO:0018678","4-hydroxybenzoate 1-hydroxylase activity"
"10336","GO:0018679","dibenzothiophene-5,5-dioxide monooxygenase activity"
"10337","GO:0018680","deethylatrazine monooxygenase activity"
"10338","GO:0018681","deisopropylatrazine monooxygenase activity"
"10339","GO:0018682","atrazine N-dealkylase activity"
"10340","GO:0018683","camphor 5-monooxygenase activity"
"10341","GO:0018684","camphor 1,2-monooxygenase activity"
"10342","GO:0018685","alkane 1-monooxygenase activity"
"10343","GO:0018686","6-hydroxy pseudo-oxynicotine monooxygenase activity"
"10344","GO:0018687","biphenyl 2,3-dioxygenase activity"
"10345","GO:0018688","DDT 2,3-dioxygenase activity"
"10346","GO:0018689","naphthalene disulfonate 1,2-dioxygenase activity"
"10347","GO:0018690","4-methoxybenzoate monooxygenase (O-demethylating) activity"
"10348","GO:0018693","ethylbenzene hydroxylase activity"
"10349","GO:0018694","p-cymene methyl hydroxylase activity"
"10350","GO:0018695","4-cresol dehydrogenase (hydroxylating) activity"
"10351","GO:0018697","carbonyl sulfide nitrogenase activity"
"10352","GO:0018698","vinyl chloride reductive dehalogenase activity"
"10353","GO:0018699","1,1,1-trichloroethane reductive dehalogenase activity"
"10354","GO:0018700","2-chloro-N-isopropylacetanilide reductive dehalogenase activity"
"10355","GO:0018701","2,5-dichlorohydroquinone reductive dehalogenase activity"
"10356","GO:0018702","1,1-dichloro-2,2-bis(4-chlorophenyl)ethene dehalogenase activity"
"10357","GO:0018703","2,4-dichlorophenoxyacetate dehalogenase activity"
"10358","GO:0018705","1,2-dichloroethene reductive dehalogenase activity"
"10359","GO:0018706","pyrogallol hydroxytransferase activity"
"10360","GO:0018707","1-phenanthrol methyltransferase activity"
"10361","GO:0018708","thiol S-methyltransferase activity"
"10362","GO:0018710","acetone carboxylase activity"
"10363","GO:0018711","benzoyl acetate-CoA thiolase activity"
"10364","GO:0018712","3-hydroxybutyryl-CoA thiolase activity"
"10365","GO:0018713","3-ketopimelyl-CoA thiolase activity"
"10366","GO:0018715","9-phenanthrol UDP-glucuronosyltransferase activity"
"10367","GO:0018716","1-phenanthrol glycosyltransferase activity"
"10368","GO:0018717","9-phenanthrol glycosyltransferase activity"
"10369","GO:0018718","1,2-dihydroxy-phenanthrene glycosyltransferase activity"
"10370","GO:0018719","6-aminohexanoate transaminase activity"
"10371","GO:0018720","phenol kinase activity"
"10372","GO:0018721","trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity"
"10373","GO:0018722","1-phenanthrol sulfotransferase activity"
"10374","GO:0018723","3-phenanthrol sulfotransferase activity"
"10375","GO:0018724","4-phenanthrol sulfotransferase activity"
"10376","GO:0018725","trans-3,4-dihydrodiolphenanthrene sulfotransferase activity"
"10377","GO:0018726","9-phenanthrol sulfotransferase activity"
"10378","GO:0018727","2-phenanthrol sulfotransferase activity"
"10379","GO:0018729","propionate CoA-transferase activity"
"10380","GO:0018730","glutaconate CoA-transferase activity"
"10381","GO:0018731","1-oxa-2-oxocycloheptane lactonase activity"
"10382","GO:0018732","sulfolactone hydrolase activity"
"10383","GO:0018733","3,4-dihydrocoumarin hydrolase activity"
"10384","GO:0018734","butyrolactone hydrolase activity"
"10385","GO:0018736","6-oxo-2-hydroxycyclohexane-1-carboxyl-CoA hydrolase activity"
"10386","GO:0018737","2-ketocyclohexane-1-carboxyl-CoA hydrolase activity"
"10387","GO:0018738","S-formylglutathione hydrolase activity"
"10388","GO:0018739","4-hydroxybenzoyl-CoA thioesterase activity"
"10389","GO:0018740","2'-hydroxybiphenyl-2-sulfinate desulfinase activity"
"10390","GO:0018741","alkyl sulfatase activity"
"10391","GO:0018742","epoxide hydrolase B activity"
"10392","GO:0018743","phenanthrene-9,10-epoxide hydrolase (9R,10R-forming) activity"
"10393","GO:0018744","limonene-1,2-epoxide hydrolase activity"
"10394","GO:0018745","epoxide hydrolase A activity"
"10395","GO:0018746","phenanthrene-3,4-epoxide hydrolase activity"
"10396","GO:0018747","phenanthrene-1,2-epoxide hydrolase activity"
"10397","GO:0018748","iprodione amidohydrolase activity"
"10398","GO:0018749","(3,5-dichlorophenylurea)acetate amidohydrolase activity"
"10399","GO:0018750","biuret amidohydrolase activity"
"10400","GO:0018751","3,5-dichlorophenylcarboximide hydrolase activity"
"10401","GO:0018752","epsilon-caprolactam lactamase activity"
"10402","GO:0018753","cyanuric acid amidohydrolase activity"
"10403","GO:0018754","ammelide aminohydrolase activity"
"10404","GO:0018755","2-chloro-4-hydroxy-6-amino-1,3,5-triazine aminohydrolase activity"
"10405","GO:0018756","ammeline aminohydrolase activity"
"10406","GO:0018757","deisopropylhydroxyatrazine aminohydrolase activity"
"10407","GO:0018758","2,4-dihydroxy-6-(N'-ethyl)amino-1,3,5-triazine aminohydrolase activity"
"10408","GO:0018759","methenyltetrahydromethanopterin cyclohydrolase activity"
"10409","GO:0018760","thiocyanate hydrolase activity"
"10410","GO:0018761","bromoxynil nitrilase activity"
"10411","GO:0018762","aliphatic nitrilase activity"
"10412","GO:0018763","hydroxydechloroatrazine ethylaminohydrolase activity"
"10413","GO:0018764","N-isopropylammelide isopropylaminohydrolase activity"
"10414","GO:0018765","2-hydroxy-6-oxohepta-2,4-dienoate hydrolase activity"
"10415","GO:0018766","dihydrophloroglucinol hydrolase activity"
"10416","GO:0018767","2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase activity"
"10417","GO:0018768","2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoate hydrolase activity"
"10418","GO:0018769","2-hydroxy-6-oxoocta-2,4-dienoate hydrolase activity"
"10419","GO:0018770","6-oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8-trichloroocta-2E,4E,7-trienoate hydrolase activity"
"10420","GO:0018771","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity"
"10421","GO:0018772","trioxoheptanoate hydrolase activity"
"10422","GO:0018773","acetylpyruvate hydrolase activity"
"10423","GO:0018774","2,6-dioxo-6-phenylhexa-3-enoate hydrolase activity"
"10424","GO:0018775","2-hydroxymuconate-semialdehyde hydrolase activity"
"10425","GO:0018776","trans-chloroacrylic acid dehalogenase activity"
"10426","GO:0018777","1,3,4,6-tetrachloro-1,4-cyclohexadiene halidohydrolase activity"
"10427","GO:0018778","DL-2 haloacid dehalogenase activity"
"10428","GO:0018780","dichloroacetate halidohydrolase activity"
"10429","GO:0018781","S-triazine hydrolase activity"
"10430","GO:0018782","cis-chloroacrylic acid dehalogenase activity"
"10431","GO:0018783","deisopropyldeethylatrazine hydrolase activity"
"10432","GO:0018784","(S)-2-haloacid dehalogenase activity"
"10433","GO:0018785","haloacetate dehalogenase activity"
"10434","GO:0018786","haloalkane dehalogenase activity"
"10435","GO:0018787","4-chlorobenzoyl-CoA dehalogenase activity"
"10436","GO:0018788","atrazine chlorohydrolase activity"
"10437","GO:0018789","cyclamate sulfohydrolase activity"
"10438","GO:0018791","2-hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate decarboxylase activity"
"10439","GO:0018792","bis(4-chlorophenyl)acetate decarboxylase activity"
"10440","GO:0018793","3,5-dibromo-4-hydroxybenzoate decarboxylase activity"
"10441","GO:0018794","2-hydroxyisobutyrate decarboxylase activity"
"10442","GO:0018795","2-hydroxy-2-methyl-1,3-dicarbonate decarboxylase activity"
"10443","GO:0018796","4,5-dihydroxyphthalate decarboxylase activity"
"10444","GO:0018798","gallate decarboxylase activity"
"10445","GO:0018799","4-hydroxybenzoate decarboxylase activity"
"10446","GO:0018800","5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity"
"10447","GO:0018801","glutaconyl-CoA decarboxylase activity"
"10448","GO:0018802","2,4-dihydroxyhept-2-ene-1,7-dioate aldolase activity"
"10449","GO:0018803","4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase activity"
"10450","GO:0018805","benzylsuccinate synthase activity"
"10451","GO:0018807","6-hydroxycyclohex-1-ene-1-carboxyl-CoA hydratase activity"
"10452","GO:0018808","trans-4-(1'-hydroxynaphth-2'-yl)-2-oxobut-3-enoate hydratase-aldolase activity"
"10453","GO:0018809","E-phenylitaconyl-CoA hydratase activity"
"10454","GO:0018810","trans-4-[2-(3-hydroxy)-thionaphthenyl]-2-oxo-3-butenoate hydratase activity"
"10455","GO:0018811","cyclohex-1-ene-1-carboxyl-CoA hydratase activity"
"10456","GO:0018812","3-hydroxyacyl-CoA dehydratase activity"
"10457","GO:0018813","trans-o-hydroxybenzylidenepyruvate hydratase-aldolase activity"
"10458","GO:0018814","phenylacetaldoxime dehydratase activity"
"10459","GO:0018815","3-methyl-5-hydroxy-6-(3-carboxy-3-oxopropenyl)-1H-2-pyridon hydratase-aldolase activity"
"10460","GO:0018816","2-hydroxyisobutyrate dehydratase activity"
"10461","GO:0018817","2-oxo-hept-3-ene-1,7-dioate hydratase activity"
"10462","GO:0018818","acetylene hydratase activity"
"10463","GO:0018819","lactoyl-CoA dehydratase activity"
"10464","GO:0018820","cyanamide hydratase activity"
"10465","GO:0018822","nitrile hydratase activity"
"10466","GO:0018823","cyclohexa-1,5-dienecarbonyl-CoA hydratase activity"
"10467","GO:0018824","(hydroxyamino)benzene mutase activity"
"10468","GO:0018825","triethanolamine lyase activity"
"10469","GO:0018826","methionine gamma-lyase activity"
"10470","GO:0018827","1-chloro-2,2-bis(4-chlorophenyl)ethane dehydrochlorinase activity"
"10471","GO:0018828","halohydrin hydrogen-halide-lyase A activity"
"10472","GO:0018829","1,1-dichloro-2,2-bis(4-chlorophenyl)ethane dehydrochlorinase activity"
"10473","GO:0018830","gamma-hexachlorocyclohexane dehydrochlorinase activity"
"10474","GO:0018831","5-chloro-1,2,4-trihydroxybenzene dechlorinase activity"
"10475","GO:0018832","halohydrin hydrogen-halide-lyase B activity"
"10476","GO:0018833","DDT-dehydrochlorinase activity"
"10477","GO:0018834","dichloromethane dehalogenase activity"
"10478","GO:0018835","carbon phosphorus lyase activity"
"10479","GO:0018836","alkylmercury lyase activity"
"10480","GO:0018837","2-hydroxy-2H-benzo[h]chromene-2-carboxylate isomerase activity"
"10481","GO:0018838","mandelate racemase activity"
"10482","GO:0018839","cis-4-[2-(3-hydroxy)-thionaphthenyl]-2-oxo-3-butenoate isomerase activity"
"10483","GO:0018842","3-carboxymuconate cycloisomerase type II activity"
"10484","GO:0018844","2-hydroxytetrahydrofuran isomerase activity"
"10485","GO:0018845","2-hydroxychromene-2-carboxylate isomerase activity"
"10486","GO:0018846","styrene-oxide isomerase activity"
"10487","GO:0018847","alpha-pinene lyase activity"
"10488","GO:0018848","pinocarveol isomerase activity"
"10489","GO:0018849","muconate cycloisomerase activity"
"10490","GO:0018850","chloromuconate cycloisomerase activity"
"10491","GO:0018851","alpha-pinene-oxide decyclase activity"
"10492","GO:0018852","dichloromuconate cycloisomerase activity"
"10493","GO:0018854","3-isopropenyl-6-oxoheptanoyl-CoA synthetase activity"
"10494","GO:0018855","2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA synthetase activity"
"10495","GO:0018856","benzoyl acetate-CoA ligase activity"
"10496","GO:0018857","2,4-dichlorobenzoate-CoA ligase activity"
"10497","GO:0018858","benzoate-CoA ligase activity"
"10498","GO:0018859","4-hydroxybenzoate-CoA ligase activity"
"10499","GO:0018860","anthranilate-CoA ligase activity"
"10500","GO:0018861","4-chlorobenzoate-CoA ligase activity"
"10501","GO:0018862","phenylphosphate carboxylase activity"
"10502","GO:0018863","phenanthrene-9,10-epoxide hydrolase (9S,10S-forming) activity"
"10503","GO:0018864","acetylene metabolic process"
"10504","GO:0018865","acrylonitrile metabolic process"
"10505","GO:0018866","adamantanone metabolic process"
"10506","GO:0018867","alpha-pinene metabolic process"
"10507","GO:0018868","2-aminobenzenesulfonate metabolic process"
"10508","GO:0018870","anaerobic 2-aminobenzoate metabolic process"
"10509","GO:0018871","1-aminocyclopropane-1-carboxylate metabolic process"
"10510","GO:0018872","arsonoacetate metabolic process"
"10511","GO:0018873","atrazine metabolic process"
"10512","GO:0018874","benzoate metabolic process"
"10513","GO:0018875","anaerobic benzoate metabolic process"
"10514","GO:0018876","benzonitrile metabolic process"
"10515","GO:0018877","beta-1,2,3,4,5,6-hexachlorocyclohexane metabolic process"
"10516","GO:0018878","aerobic beta-1,2,3,4,5,6-hexachlorocyclohexane metabolic process"
"10517","GO:0018879","biphenyl metabolic process"
"10518","GO:0018880","4-chlorobiphenyl metabolic process"
"10519","GO:0018881","bromoxynil metabolic process"
"10520","GO:0018882","(+)-camphor metabolic process"
"10521","GO:0018883","caprolactam metabolic process"
"10522","GO:0018884","carbazole metabolic process"
"10523","GO:0018885","carbon tetrachloride metabolic process"
"10524","GO:0018886","anaerobic carbon tetrachloride metabolic process"
"10525","GO:0018887","4-carboxy-4'-sulfoazobenzene metabolic process"
"10526","GO:0018888","3-chloroacrylic acid metabolic process"
"10527","GO:0018889","2-chloro-N-isopropylacetanilide metabolic process"
"10528","GO:0018890","cyanamide metabolic process"
"10529","GO:0018891","cyclohexanol metabolic process"
"10530","GO:0018892","cyclohexylsulfamate metabolic process"
"10531","GO:0018893","dibenzofuran metabolic process"
"10532","GO:0018894","dibenzo-p-dioxin metabolic process"
"10533","GO:0018895","dibenzothiophene metabolic process"
"10534","GO:0018896","dibenzothiophene catabolic process"
"10535","GO:0018897","dibenzothiophene desulfurization"
"10536","GO:0018898","2,4-dichlorobenzoate metabolic process"
"10537","GO:0018899","1,2-dichloroethane metabolic process"
"10538","GO:0018900","dichloromethane metabolic process"
"10539","GO:0018901","2,4-dichlorophenoxyacetic acid metabolic process"
"10540","GO:0018902","1,3-dichloro-2-propanol metabolic process"
"10541","GO:0018903","1,3-dichloropropene metabolic process"
"10542","GO:0018904","ether metabolic process"
"10543","GO:0018905","dimethyl ether metabolic process"
"10544","GO:0018906","methyl tert-butyl ether metabolic process"
"10545","GO:0018907","dimethyl sulfoxide metabolic process"
"10546","GO:0018908","organosulfide cycle"
"10547","GO:0018909","dodecyl sulfate metabolic process"
"10548","GO:0018910","benzene metabolic process"
"10549","GO:0018911","1,2,4-trichlorobenzene metabolic process"
"10550","GO:0018912","1,4-dichlorobenzene metabolic process"
"10551","GO:0018913","anaerobic ethylbenzene metabolic process"
"10552","GO:0018914","chlorobenzene metabolic process"
"10553","GO:0018915","ethylbenzene metabolic process"
"10554","GO:0018916","nitrobenzene metabolic process"
"10555","GO:0018917","fluorene metabolic process"
"10556","GO:0018918","gallate metabolic process"
"10557","GO:0018919","gamma-1,2,3,4,5,6-hexachlorocyclohexane metabolic process"
"10558","GO:0018920","glyphosate metabolic process"
"10559","GO:0018921","3-hydroxybenzyl alcohol metabolic process"
"10560","GO:0018922","iprodione metabolic process"
"10561","GO:0018923","limonene metabolic process"
"10562","GO:0018924","mandelate metabolic process"
"10563","GO:0018925","m-cresol metabolic process"
"10564","GO:0018926","methanesulfonic acid metabolic process"
"10565","GO:0018928","methyl ethyl ketone metabolic process"
"10566","GO:0018929","methyl fluoride metabolic process"
"10567","GO:0018930","3-methylquinoline metabolic process"
"10568","GO:0018931","naphthalene metabolic process"
"10569","GO:0018933","nicotine metabolic process"
"10570","GO:0018934","nitrilotriacetate metabolic process"
"10571","GO:0018935","aerobic nitrilotriacetate metabolic process"
"10572","GO:0018936","anaerobic nitrilotriacetate metabolic process"
"10573","GO:0018937","nitroglycerin metabolic process"
"10574","GO:0018938","2-nitropropane metabolic process"
"10575","GO:0018939","n-octane metabolic process"
"10576","GO:0018940","orcinol metabolic process"
"10577","GO:0018941","organomercury metabolic process"
"10578","GO:0018942","organometal metabolic process"
"10579","GO:0018943","organotin metabolic process"
"10580","GO:0018944","tri-n-butyltin metabolic process"
"10581","GO:0018945","organosilicon metabolic process"
"10582","GO:0018946","aerobic organosilicon metabolic process"
"10583","GO:0018947","anaerobic organosilicon metabolic process"
"10584","GO:0018948","xylene metabolic process"
"10585","GO:0018949","m-xylene metabolic process"
"10586","GO:0018950","o-xylene metabolic process"
"10587","GO:0018951","p-xylene metabolic process"
"10588","GO:0018952","parathion metabolic process"
"10589","GO:0018953","p-cymene metabolic process"
"10590","GO:0018954","pentaerythritol tetranitrate metabolic process"
"10591","GO:0018955","phenanthrene metabolic process"
"10592","GO:0018956","phenanthrene catabolic process via trans-9(R),10(R)-dihydrodiolphenanthrene"
"10593","GO:0018957","phenanthrene catabolic process via trans-9(S),10(S)-dihydrodiolphenanthrene"
"10594","GO:0018958","phenol-containing compound metabolic process"
"10595","GO:0018959","aerobic phenol-containing compound metabolic process"
"10596","GO:0018960","4-nitrophenol metabolic process"
"10597","GO:0018961","pentachlorophenol metabolic process"
"10598","GO:0018962","3-phenylpropionate metabolic process"
"10599","GO:0018963","phthalate metabolic process"
"10600","GO:0018964","propylene metabolic process"
"10601","GO:0018965","s-triazine compound metabolic process"
"10602","GO:0018966","styrene metabolic process"
"10603","GO:0018967","tetrachloroethylene metabolic process"
"10604","GO:0018968","tetrahydrofuran metabolic process"
"10605","GO:0018969","thiocyanate metabolic process"
"10606","GO:0018970","toluene metabolic process"
"10607","GO:0018971","anaerobic toluene metabolic process"
"10608","GO:0018972","toluene-4-sulfonate metabolic process"
"10609","GO:0018973","trinitrotoluene metabolic process"
"10610","GO:0018974","2,4,6-trinitrotoluene metabolic process"
"10611","GO:0018975","anaerobic 2,4,6-trinitrotoluene metabolic process"
"10612","GO:0018976","1,2,3-tribromopropane metabolic process"
"10613","GO:0018977","1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane metabolic process"
"10614","GO:0018978","anaerobic 1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane metabolic process"
"10615","GO:0018979","trichloroethylene metabolic process"
"10616","GO:0018980","2,4,5-trichlorophenoxyacetic acid metabolic process"
"10617","GO:0018981","triethanolamine metabolic process"
"10618","GO:0018982","vanillin metabolic process"
"10619","GO:0018983","Z-phenylacetaldoxime metabolic process"
"10620","GO:0018984","naphthalenesulfonate metabolic process"
"10621","GO:0018985","pronuclear envelope synthesis"
"10622","GO:0018989","apolysis"
"10623","GO:0018990","ecdysis, chitin-based cuticle"
"10624","GO:0018991","oviposition"
"10625","GO:0018992","germ-line sex determination"
"10626","GO:0018993","somatic sex determination"
"10627","GO:0018995","host cellular component"
"10628","GO:0018996","molting cycle, collagen and cuticulin-based cuticle"
"10629","GO:0019001","guanyl nucleotide binding"
"10630","GO:0019002","GMP binding"
"10631","GO:0019003","GDP binding"
"10632","GO:0019005","SCF ubiquitin ligase complex"
"10633","GO:0019008","molybdopterin synthase complex"
"10634","GO:0019010","farnesoic acid O-methyltransferase activity"
"10635","GO:0019012","virion"
"10636","GO:0019013","viral nucleocapsid"
"10637","GO:0019028","viral capsid"
"10638","GO:0019029","helical viral capsid"
"10639","GO:0019030","icosahedral viral capsid"
"10640","GO:0019031","viral envelope"
"10641","GO:0019033","viral tegument"
"10642","GO:0019034","viral replication complex"
"10643","GO:0019035","viral integration complex"
"10644","GO:0019036","viral transcriptional complex"
"10645","GO:0019037","viral assembly intermediate"
"10646","GO:0019042","viral latency"
"10647","GO:0019043","establishment of viral latency"
"10648","GO:0019044","maintenance of viral latency"
"10649","GO:0019045","latent virus replication"
"10650","GO:0019046","release from viral latency"
"10651","GO:0019048","modulation by virus of host process"
"10652","GO:0019049","mitigation of host defenses by virus"
"10653","GO:0019050","suppression by virus of host apoptotic process"
"10654","GO:0019051","induction by virus of host apoptotic process"
"10655","GO:0019054","modulation by virus of host cellular process"
"10656","GO:0019055","modification by virus of host cell cycle regulation"
"10657","GO:0019056","modulation by virus of host transcription"
"10658","GO:0019057","modulation by virus of host translation"
"10659","GO:0019058","viral life cycle"
"10660","GO:0019060","intracellular transport of viral protein in host cell"
"10661","GO:0019061","uncoating of virus"
"10662","GO:0019062","virion attachment to host cell"
"10663","GO:0019064","fusion of virus membrane with host plasma membrane"
"10664","GO:0019065","receptor-mediated endocytosis of virus by host cell"
"10665","GO:0019068","virion assembly"
"10666","GO:0019069","viral capsid assembly"
"10667","GO:0019070","viral genome maturation"
"10668","GO:0019071","viral DNA cleavage involved in viral genome maturation"
"10669","GO:0019072","viral genome packaging"
"10670","GO:0019073","viral DNA genome packaging"
"10671","GO:0019074","viral RNA genome packaging"
"10672","GO:0019075","virus maturation"
"10673","GO:0019076","viral release from host cell"
"10674","GO:0019079","viral genome replication"
"10675","GO:0019080","viral gene expression"
"10676","GO:0019081","viral translation"
"10677","GO:0019082","viral protein processing"
"10678","GO:0019083","viral transcription"
"10679","GO:0019084","middle viral transcription"
"10680","GO:0019085","early viral transcription"
"10681","GO:0019086","late viral transcription"
"10682","GO:0019087","transformation of host cell by virus"
"10683","GO:0019090","mitochondrial rRNA export from mitochondrion"
"10684","GO:0019091","mitochondrial lrRNA export from mitochondrion"
"10685","GO:0019092","mitochondrial srRNA export from mitochondrion"
"10686","GO:0019093","mitochondrial RNA localization"
"10687","GO:0019094","pole plasm mRNA localization"
"10688","GO:0019095","pole plasm mitochondrial rRNA localization"
"10689","GO:0019096","pole plasm mitochondrial lrRNA localization"
"10690","GO:0019097","pole plasm mitochondrial srRNA localization"
"10691","GO:0019098","reproductive behavior"
"10692","GO:0019099","female germ-line sex determination"
"10693","GO:0019100","male germ-line sex determination"
"10694","GO:0019101","female somatic sex determination"
"10695","GO:0019102","male somatic sex determination"
"10696","GO:0019103","pyrimidine nucleotide binding"
"10697","GO:0019104","DNA N-glycosylase activity"
"10698","GO:0019105","N-palmitoyltransferase activity"
"10699","GO:0019107","myristoyltransferase activity"
"10700","GO:0019108","aryl-aldehyde dehydrogenase (NAD) activity"
"10701","GO:0019111","phenanthrol sulfotransferase activity"
"10702","GO:0019112","phenanthrol glycosyltransferase activity"
"10703","GO:0019113","limonene monooxygenase activity"
"10704","GO:0019114","catechol dioxygenase activity"
"10705","GO:0019115","benzaldehyde dehydrogenase [NAD(P)+] activity"
"10706","GO:0019116","hydroxy-nicotine oxidase activity"
"10707","GO:0019117","dihydroxyfluorene dioxygenase activity"
"10708","GO:0019118","phenanthrene-epoxide hydrolase activity"
"10709","GO:0019119","phenanthrene-9,10-epoxide hydrolase activity"
"10710","GO:0019120","hydrolase activity, acting on acid halide bonds, in C-halide compounds"
"10711","GO:0019121","peptidoglycan-protein cross-linking via N6-mureinyl-L-lysine"
"10712","GO:0019122","peptidyl-D-alanine racemization"
"10713","GO:0019123","peptidyl-methionine racemization"
"10714","GO:0019124","peptidyl-isoleucine racemization"
"10715","GO:0019125","peptidyl-phenylalanine racemization"
"10716","GO:0019126","peptidyl-serine racemization"
"10717","GO:0019128","peptidyl-tryptophan racemization"
"10718","GO:0019129","peptidyl-leucine racemization"
"10719","GO:0019133","choline monooxygenase activity"
"10720","GO:0019134","glucosamine-1-phosphate N-acetyltransferase activity"
"10721","GO:0019135","deoxyhypusine monooxygenase activity"
"10722","GO:0019136","deoxynucleoside kinase activity"
"10723","GO:0019137","thioglucosidase activity"
"10724","GO:0019139","cytokinin dehydrogenase activity"
"10725","GO:0019140","inositol 3-kinase activity"
"10726","GO:0019141","2-dehydropantolactone reductase (B-specific) activity"
"10727","GO:0019142","2-hydroxyglutarate synthase activity"
"10728","GO:0019143","3-deoxy-manno-octulosonate-8-phosphatase activity"
"10729","GO:0019144","ADP-sugar diphosphatase activity"
